Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
20499500115,Patinete Elétrico Dobrável Para Adultos 350W Bivolt 36V,"1,2mil",795,AUMOX,13%,"R$161,08",https://shopee.com.br/product/1223506816/20499500115,https://s.shopee.com.br/3qLByhP45M
46054420959,Nova Profissional Placa De Carbono Tênis De Corrida Maratona Moda Sapatos Para Homens E Mulheres 33-44,"117,40",100,MOISTMOIST,15%,"R$17,61",https://shopee.com.br/product/662418492/46054420959,https://s.shopee.com.br/3g1lmOPhQL
26172117608,Guarda Chuva Automático Dobrável Sol Dupla Utilização Reforço À Prova De Vento Proteção UV UP50 +,"42,24",20mil+,Ublue1.br,13%,"R$5,49",https://shopee.com.br/product/1388525848/26172117608,https://s.shopee.com.br/3ViLa5QKlK
19198103733,Kit 3 Shorts Marmorizado Roupa Academia Cintura Alta Feminino Tie Dye Zero Transparencia Bermuda,"33,00",4mil+,Kyky Store,20%,"R$6,60",https://shopee.com.br/product/1498295527/19198103733,https://s.shopee.com.br/3LOvNmQy6J
21997991730,Bicicleta aro 20 BMX Pro-X Série 1 freios V-Brake aros Aero,"530,61",7mil+,STX Bikes,12%,"R$63,67",https://shopee.com.br/product/1268640028/21997991730,https://s.shopee.com.br/4VaslvMWjY
18431232505,Tênis Feminino Academia O2X Icomic Caminhada para Mulher,"36,99",10mil+,getshoes,16%,"R$5,92",https://shopee.com.br/product/289452025/18431232505,https://s.shopee.com.br/4LHSZcNA4X
22897456820,Joelheira Alta Compressão Ortopédica Ajustável Elástica Tensor Alívio de Dor Proteção Eportes,"19,90",4mil+,GlobalTradeBrasil,23%,"R$4,58",https://shopee.com.br/product/986409526/22897456820,https://s.shopee.com.br/4Ay2NJNnPW
22697902690,Kit ZERO FRIZZ® Touca de Cetim Premium Anti Frizz com Regulador e Dupla Camada + Scrunchie de Cetim,"20,00",2mil+,Zero Frizz,53%,"R$10,60",https://shopee.com.br/product/718725893/22697902690,https://s.shopee.com.br/40ecB0OQkV
23193617954,Brilho Labial - Sarah's Beauty-COR 6,"12,99",1mil+,COCOKA,23%,"R$2,99",https://shopee.com.br/product/1414741692/23193617954,https://s.shopee.com.br/5AqZZ9JzNk
41155664373,Almofada de poros Zero MEDICUBE 2.0,"102,00",699,zhihuamaoyi.br,33%,"R$33,66",https://shopee.com.br/product/1445458875/41155664373,https://s.shopee.com.br/50X9MqKcij
23296590123,Kit Meu Cronograma Perfeito Dabelle Hair – 5 Produtos,"79,90",6mil+,DaBelle Oficial,31%,"R$24,77",https://shopee.com.br/product/939411398/23296590123,https://s.shopee.com.br/4qDjAXLG3i
19298108602,Massageador Golfinho para Tratamento Rejuvenescedor Anti-idade com LED Fototerapia,"29,89",7mil+,SLX OFFICIAL STORE,12%,"R$3,59",https://shopee.com.br/product/1053212537/19298108602,https://s.shopee.com.br/4fuIyELtOh
21897981294,Attracione Men (Perfume Masculino com Feromônios Ativados),"59,00",50mil+,Attracione Men & Attracione,23%,"R$13,57",https://shopee.com.br/product/1266325318/21897981294,https://s.shopee.com.br/W4k0Zbkqu
21798266830,Clareador De Axilas e Virilhas Creme Clareador Partes Intimas Clear Beauty - Envio Rápido,"24,80",10mil+,Vision Express,28%,"R$6,94",https://shopee.com.br/product/1220447560/21798266830,https://s.shopee.com.br/LlJoGcOBt
22694204933,KIT Eico Salão Em Casa Hidratação Intensiva Shampoo 800ml e Condicionador 450ml + Máscara 1kg,"99,90",319,Espaço da Blz,27%,"R$26,97",https://shopee.com.br/product/722975682/22694204933,https://s.shopee.com.br/BRtbxd1Ws
23593003344,Kit Iniciante Extensão Alongamento De Cilios Nano Vaporizador Ventilador Escovinha Microbrush Pinça,"69,58",4mil+,Karla Cosméticos,23%,"R$16,00",https://shopee.com.br/product/1012625840/23593003344,https://s.shopee.com.br/18TPederr
22494449171,Body Splash Lily 200Ml + 1 Hidratante 200ML,"89,90",9mil+,LojaMaster02,14%,"R$12,59",https://shopee.com.br/product/1409140836/22494449171,https://s.shopee.com.br/1BKQnnZDV6
9618359216,Argila Mascara facial 100g Elegância Orgânica 100 % Natural Branca Verde Rosa Dourada Preta Dolomita,"14,99",300mil+,Elegância Orgânica,21%,"R$3,15",https://shopee.com.br/product/347853254/9618359216,https://s.shopee.com.br/1110bUZqq5
22891888396,Kit 4 Produtos Morte Súbita Lola Cosmetics,"139,90",10mil+,Oi Cosmetics,18%,"R$25,18",https://shopee.com.br/product/387093003/22891888396,https://s.shopee.com.br/qhaPBaUB4
8049487119,Escova Almofadada Escobel Raquete Quadrada Desembaraça Fácil Anti Frizz Massagem Capilar Uso Diário,"27,21",20mil+,Bia Make Box ,16%,"R$4,35",https://shopee.com.br/product/378439266/8049487119,https://s.shopee.com.br/gOACsb7W3
58201161576,Body Splash Barbours Original Beauty Fragrancia Feminino Very Sexy Delight Roses Affair Alter Flower,"48,99",2mil+,Lojas Aboud,3%,"R$1,47",https://shopee.com.br/product/341169353/58201161576,https://s.shopee.com.br/1qa7b1Wg9I
8116146618,Base Fortalecedora Para Unhas Fracas e Quebradiças | Fortalecedor de Unhas Crescimento Rápido,"23,90",20mil+,Super Fortalecedor,14%,"R$3,35",https://shopee.com.br/product/321971634/8116146618,https://s.shopee.com.br/1gGhOiXJUH
22398343427,Sérum Monovit Crescimento Capilar Produto Para Cabelo Forte,"19,90",20mil+,Monovit Growth,33%,"R$6,57",https://shopee.com.br/product/1496395197/22398343427,https://s.shopee.com.br/1VxHCPXwpG
57656539787,Lançamento Escova de cabelo Fitagem Flex Gringa Cabelo Cacheado Alta Definição 2A a 4C Escova de Finalização Flexível,"11,50",993,Kuàilè Bijux,3%,"R$0,35",https://shopee.com.br/product/1003127601/57656539787,https://s.shopee.com.br/1Ldr06YaAF
22497361083,Poran Esfoliantes Corporal 240g,"12,98",10mil+,passionepaulistadi,15%,"R$1,95",https://shopee.com.br/product/413650584/22497361083,https://s.shopee.com.br/2VpoOFU8nU
25146921882,Kit Spa dos Pés Creme De Pedreiro 500g + Esfoliante 240g para quem Sofre com Ressecamento e Calosidades,"25,00",2mil+,Toque Hair Cosméticos,28%,"R$7,00",https://shopee.com.br/product/497077778/25146921882,https://s.shopee.com.br/2LWOBwUm8T
22893696355,Kit Lisoterapia Progressiva Shampoo Condicionador Máscara Hidratação Reconstrução Super Tratamento,"69,84",10mil+,TOP VIP DESCONTOS,21%,"R$14,67",https://shopee.com.br/product/528324291/22893696355,https://s.shopee.com.br/2BCxzdVPTS
